aoi,month,date,l1c_cloud_pct,l1c_product_id
qiddiya_core,2020-01,2020-01-31,0,20200131T073131_20200131T073131_T38RPN
qiddiya_core,2021-03,2021-03-31,0,20210331T072619_20210331T073145_T38RPN
qiddiya_core,2022-09,2022-09-07,0,20220907T072631_20220907T073159_T38RPN
qiddiya_core,2024-11,2024-11-05,0,20241105T073101_20241105T073141_T38RPN
qiddiya_core,2025-04,2025-04-09,0,20250409T072619_20250409T073148_T38RPN
diriyah_gate,2022-12,2022-12-11,0,20221211T073219_20221211T073217_T38RPN
diriyah_gate,2023-05,2023-05-05,0,20230505T072621_20230505T073147_T38RPN
diriyah_gate,2025-02,2025-02-08,0,20250208T072959_20250208T073146_T38RPN
diriyah_gate,2022-12,2022-12-21,0.0160351160082415,20221221T073229_20221221T073228_T38RPN
diriyah_gate,2020-04,2020-04-25,0.023,20200425T072609_20200425T073431_T38RPN
king_salman_park,2021-07,2021-07-24,0,20210724T072621_20210724T073151_T38RPN
king_salman_park,2022-06,2022-06-09,0,20220609T072621_20220609T073156_T38RPN
king_salman_park,2022-06,2022-06-21,0,20220621T071619_20220621T072138_T38RPN
king_salman_park,2023-01,2023-01-20,0,20230120T073129_20230120T073142_T38RPN
king_salman_park,2025-02,2025-02-08,0,20250208T072959_20250208T073146_T38RPN
