date,sh_uvai_mean,gee_uvai_mean,sh_minus_gee,both_present
2020-06-24,0.4106203678821429,0.4073058993902876,0.0033144684918552936,True
2020-07-24,-0.007544953186545248,-0.009948696438131389,0.0024037432515861407,True
2020-09-22,-0.51973829580676,-0.5205093472216042,0.0007710514148442371,True
2020-12-31,-1.1122623411747068,-1.1155114537188267,0.0032491125441198587,True
2021-01-12,-0.8515965987167304,-0.8529681565210192,0.00137155780428877,True
2022-01-20,0.9317626930154245,0.9324307996848425,-0.0006681066694180782,True
2022-05-05,2.497874655547115,2.4949470315723543,0.0029276239747608734,True
2022-05-20,2.3912764505196584,2.3867036308186615,0.004572819700996877,True
2022-07-06,2.1835946305201284,2.1836441866904566,-4.955617032820214e-05,True
2022-08-03,1.769253301155711,1.7728167638015364,-0.0035634626458254104,True
2022-10-12,1.207524974059101,1.1753716779589294,0.03215329610017159,True
2022-10-22,1.1136223416606545,1.119188381088981,-0.0055660394283265635,True
2022-11-16,1.2087238155790245,1.2042874466598785,0.004436368919146005,True
2023-05-05,1.8574654496224738,1.8577751264176072,-0.00030967679513338453,True
2023-09-02,1.6760293123023642,1.6552104499113713,0.020818862390992843,True
2023-12-01,0.7729030614101556,0.775945370444817,-0.0030423090346614057,True
2024-01-05,0.7023027983889703,0.701004962061516,0.0012978363274542826,True
2024-05-09,2.1062495374930057,2.0979661809838768,0.008283356509128925,True
2024-05-29,1.594599223533393,1.5885189832309754,0.0060802403024176055,True
2024-06-13,1.5163865605281908,1.516270588603496,0.00011597192469481321,True
2024-07-08,1.757441129824848,1.764519740356839,-0.007078610531990881,True
2024-09-26,1.4347482504604037,1.4362604243983157,-0.0015121739379120314,True
2024-11-05,0.9698078233041496,0.9635234332232473,0.0062843900809023134,True
2025-01-09,0.40727213638460347,0.40385751812605813,0.003414618258545332,True
2025-03-15,1.1512309128218023,1.1568498871416346,-0.005618974319832271,True
2025-03-30,1.938832196543713,1.9406679027759297,-0.0018357062322167383,True
2025-09-16,1.6412986382173411,1.6359664181921343,0.005332220025206835,True
2025-10-03,1.444722974091348,1.4594725569869913,-0.01474958289564321,True
2025-10-16,0.895486976032775,0.8887461103433341,0.006740865689440989,True
2026-02-28,1.1651074107206056,1.1637243502832892,0.0013830604373163968,True
