aoi,fired_date,fired_ndvi,fired_v4,neighbor_date,neighbor_ndvi,neighbor_v4,delta_ndvi,dt_days
king_salman_park,2021-06-14,0.078811,True,2021-05-05,0.074591,False,0.004220,-40
king_salman_park,2022-06-09,0.075783,True,2022-05-10,0.059797,False,0.015986,-30
king_salman_park,2022-07-04,0.067761,True,2022-08-03,0.037995,False,0.029766,30
king_salman_park,2022-09-07,0.068238,True,2022-08-03,0.037995,False,0.030243,-35
king_salman_park,2023-05-05,0.070460,True,2023-04-30,0.084764,False,-0.014304,-5
king_salman_park,2023-06-24,0.065543,True,2023-04-30,0.084764,False,-0.019221,-55
king_salman_park,2023-10-02,0.065151,True,2023-11-21,0.055144,False,0.010007,50
king_salman_park,2024-03-10,0.072919,True,2024-02-24,0.072252,False,0.000667,-15
king_salman_park,2024-05-04,0.080814,True,2024-04-04,0.081584,False,-0.000770,-30
king_salman_park,2024-09-16,0.060165,True,2024-11-05,0.070237,False,-0.010072,50
king_salman_park,2024-10-01,0.066731,True,2024-11-05,0.070237,False,-0.003506,35
king_salman_park,2025-04-09,0.070473,True,2025-03-15,0.072359,False,-0.001886,-25
king_salman_park,2025-05-09,0.066023,True,2025-03-15,0.072359,False,-0.006336,-55
king_salman_park,2025-10-11,0.072664,True,2025-11-25,0.085470,False,-0.012806,45
qiddiya_core,2020-04-25,0.064220,True,2020-03-01,0.076720,False,-0.012500,-55
qiddiya_core,2020-11-11,0.058936,True,2020-12-11,0.075142,False,-0.016206,30
qiddiya_core,2021-02-14,0.072063,True,2021-01-05,0.066755,False,0.005308,-40
qiddiya_core,2021-11-21,0.055787,True,2022-01-10,0.066972,False,-0.011185,50
qiddiya_core,2021-12-01,0.070113,True,2022-01-10,0.066972,False,0.003141,40
qiddiya_core,2022-03-16,0.074177,True,2022-02-04,0.073542,False,0.000635,-40
qiddiya_core,2022-10-12,0.078460,True,2022-12-11,0.077700,False,0.000760,60
qiddiya_core,2022-11-21,0.059178,True,2022-12-11,0.077700,False,-0.018522,20
qiddiya_core,2023-02-24,0.091483,True,2023-03-16,0.079434,False,0.012049,20
qiddiya_core,2023-04-30,0.085704,True,2023-03-16,0.079434,False,0.006270,-45
qiddiya_core,2023-05-05,0.079134,True,2023-03-16,0.079434,False,-0.000300,-50
qiddiya_core,2023-10-02,0.059468,True,2023-11-21,0.050818,False,0.008650,50
qiddiya_core,2024-02-29,0.074184,True,2024-01-05,0.051732,False,0.022452,-55
qiddiya_core,2024-12-15,0.066934,True,2025-01-19,0.079828,False,-0.012894,35
qiddiya_core,2025-02-08,0.066160,True,2025-01-19,0.079828,False,-0.013668,-20
qiddiya_core,2025-11-25,0.061721,True,2025-12-30,0.073672,False,-0.011951,35
diriyah_gate,2021-06-14,0.152504,True,2021-05-05,0.136398,False,0.016106,-40
diriyah_gate,2022-04-10,0.118058,True,2022-03-16,0.148123,False,-0.030065,-25
diriyah_gate,2022-05-10,0.099733,True,2022-03-16,0.148123,False,-0.048390,-55
diriyah_gate,2022-07-04,0.132995,True,2022-08-18,0.123374,False,0.009621,45
diriyah_gate,2025-05-09,0.119515,True,2025-04-24,0.134050,False,-0.014535,-15
diriyah_gate,2025-06-05,0.125490,True,2025-04-24,0.134050,False,-0.008560,-42
diriyah_gate,2025-07-03,0.125212,True,2025-08-04,0.111202,False,0.014010,32
diriyah_gate,2026-04-14,0.208728,True,2026-03-25,0.148744,False,0.059984,-20
