rank,date,uvai_mean,calendar_month,allowed_months_for_aoi,s2_acquisition_date,s2_system_index,s2_cloud_pct,s2_date_offset_days,match_status
1,2025-07-20,2.403036026896549,7,"01,02,07,12",2025-07-20,20250720T071641_20250720T073136_T38RPN,0.3966,0,matched
2,2025-07-15,2.2544132140087227,7,"01,02,07,12",2025-07-15,20250715T073031_20250715T073445_T38RPN,0.2687,0,matched
3,2022-07-06,2.1835946305201284,7,"01,02,07,12",2022-07-06,20220706T071631_20220706T072028_T38RPN,0.1951,0,matched
4,2023-07-09,1.8878602809463596,7,"01,02,07,12",2023-07-09,20230709T072619_20230709T073152_T38RPN,0.0008,0,matched
5,2025-07-03,1.8420647661439729,7,"01,02,07,12",2025-07-03,20250703T072641_20250703T073357_T38RPN,0.0041,0,matched
6,2023-07-04,1.8327815491069155,7,"01,02,07,12",2023-07-04,20230704T072621_20230704T073148_T38RPN,0.0008,0,matched
7,2022-07-09,1.7822470656455571,7,"01,02,07,12",2022-07-09,20220709T072631_20220709T074256_T38RPN,2.8938,0,matched
8,2024-07-08,1.757441129824848,7,"01,02,07,12",2024-07-08,20240708T072621_20240708T073143_T38RPN,0.0017,0,matched
9,2022-02-19,1.7310718383654815,2,"01,02,07,12",2022-02-19,20220219T072941_20220219T073147_T38RPN,0.0054,0,matched
10,2022-07-04,1.6238609703093987,7,"01,02,07,12",2022-07-04,20220704T072619_20220704T073152_T38RPN,0.2505,0,matched
11,2026-02-08,1.600158286867588,2,"01,02,07,12",2026-02-08,20260208T073051_20260208T074027_T38RPN,0.0453,0,matched
12,2024-02-24,1.5851456982338075,2,"01,02,07,12",2024-02-24,20240224T072909_20240224T073143_T38RPN,1.0281,0,matched
13,2023-02-14,1.5396905252617972,2,"01,02,07,12",2023-02-14,20230214T073011_20230214T073142_T38RPN,1.6576,0,matched
14,2022-01-10,1.5131875016542846,1,"01,02,07,12",2022-01-10,20220110T073301_20220110T073302_T38RPN,0.0002,0,matched
15,2026-02-13,1.500135858766084,2,"01,02,07,12",2026-02-13,20260213T074301_20260213T074302_T38RPN,0.0008,0,matched
