date,sub_aoi,scene_date,uvai_mean,old_label,old_confidence,final_label
2021-02,king_salman_park,2021-02-04,0.0319,clean,,
2021-07,king_salman_park,2021-07-24,1.6463,clean,,
2022-04,king_salman_park,2022-04-30,1.7784,heavy_dust,,
2022-06,king_salman_park,2022-06-09,1.7443,clean,,
2022-07,king_salman_park,2022-07-04,1.6239,clean,,
2023-01,king_salman_park,2023-01-20,1.2618,clean,,
2024-01,king_salman_park,2024-01-05,0.7023,light_haze,,
2024-08,king_salman_park,2024-08-02,2.3092,clean,,
2025-02,king_salman_park,2025-02-08,1.4134,clean,,
2025-12,king_salman_park,2025-12-30,1.1581,clean,,
2026-01,king_salman_park,2026-01-04,0.7749,clean,,
