aoi,pair_date,hls_scene_count,covered
king_salman_park,2021-05-05,1,True
king_salman_park,2021-06-14,1,True
king_salman_park,2022-05-10,1,True
king_salman_park,2022-06-09,19,True
king_salman_park,2022-07-04,17,True
king_salman_park,2022-08-03,12,True
king_salman_park,2022-09-07,25,True
king_salman_park,2023-04-30,20,True
king_salman_park,2023-05-05,18,True
king_salman_park,2023-06-24,17,True
king_salman_park,2023-10-02,19,True
king_salman_park,2023-11-21,4,True
king_salman_park,2024-02-24,11,True
king_salman_park,2024-03-10,13,True
king_salman_park,2024-04-04,18,True
king_salman_park,2024-05-04,18,True
king_salman_park,2024-09-16,19,True
king_salman_park,2024-10-01,17,True
king_salman_park,2024-11-05,7,True
king_salman_park,2025-03-15,18,True
king_salman_park,2025-04-09,18,True
king_salman_park,2025-05-09,17,True
king_salman_park,2025-10-11,1,True
king_salman_park,2025-11-25,1,True
qiddiya_core,2020-03-01,8,True
qiddiya_core,2020-04-25,14,True
qiddiya_core,2020-11-11,1,True
qiddiya_core,2020-12-11,1,True
qiddiya_core,2021-01-05,1,True
qiddiya_core,2021-02-14,1,True
qiddiya_core,2021-11-21,1,True
qiddiya_core,2021-12-01,1,True
qiddiya_core,2022-01-10,1,True
qiddiya_core,2022-02-04,1,True
qiddiya_core,2022-03-16,1,True
qiddiya_core,2022-10-12,14,True
qiddiya_core,2022-11-21,5,True
qiddiya_core,2022-12-11,4,True
qiddiya_core,2023-02-24,11,True
qiddiya_core,2023-03-16,11,True
qiddiya_core,2023-04-30,20,True
qiddiya_core,2023-05-05,18,True
qiddiya_core,2023-10-02,19,True
qiddiya_core,2023-11-21,4,True
qiddiya_core,2024-01-05,5,True
qiddiya_core,2024-02-29,7,True
qiddiya_core,2024-12-15,3,True
qiddiya_core,2025-01-19,5,True
qiddiya_core,2025-02-08,3,True
qiddiya_core,2025-11-25,1,True
qiddiya_core,2025-12-30,1,True
diriyah_gate,2021-05-05,1,True
diriyah_gate,2021-06-14,1,True
diriyah_gate,2022-03-16,1,True
diriyah_gate,2022-04-10,1,True
diriyah_gate,2022-05-10,1,True
diriyah_gate,2022-07-04,17,True
diriyah_gate,2022-08-18,21,True
diriyah_gate,2025-04-24,16,True
diriyah_gate,2025-05-09,17,True
diriyah_gate,2025-06-05,1,True
diriyah_gate,2025-07-03,1,True
diriyah_gate,2025-08-04,1,True
diriyah_gate,2026-03-25,1,True
diriyah_gate,2026-04-14,1,True
